,id,city,space_id,idea_id,start_on,end_on,price_pounds
9316,155655,Paris,1409,1808,2019-01-14 00:00:00,2019-01-24 00:00:00,250250
9382,113901,Paris,2753,1817,2018-03-24 00:00:00,2018-03-24 00:00:00,200000
9403,124171,London,5765,1821,2018-05-01 00:00:00,2019-04-30 00:00:00,10037500
9488,158525,Paris,6223,1831,2018-11-15 00:00:00,2018-11-17 00:00:00,90000
9546,135767,Birmingham,1961,1841,2018-11-05 00:00:00,2018-11-18 00:00:00,130000
9679,140516,Queens ,6108,1855,2018-06-11 00:00:00,2018-06-11 00:00:00,24000
9692,174596,Paris,6350,1859,2018-12-13 00:00:00,2018-12-13 00:00:00,15000
9747,140685,London,232,1864,2018-09-13 00:00:00,2018-09-22 00:00:00,860000
9749,149613,London,232,1864,2018-09-24 00:00:00,2018-09-24 00:00:00,86000
9753,147984,London,232,1864,2018-09-23 00:00:00,2018-09-23 00:00:00,86000
9851,178748,London ,6807,1884,2019-01-14 00:00:00,2019-01-20 00:00:00,46001
9936,156528,Liverpool,2288,1919,2018-10-28 00:00:00,2018-11-10 00:00:00,74900
9983,130190,Paris,2051,1928,2018-04-20 00:00:00,2018-04-26 00:00:00,73000
10025,145537,Brooklyn,6298,1935,2018-07-14 00:00:00,2018-07-15 00:00:00,25000
10036,128240,Brooklyn,5277,1936,2018-04-27 00:00:00,2018-04-28 00:00:00,120000
10113,142875,Birmingham,6267,1945,2018-06-29 00:00:00,2018-07-08 00:00:00,270127
10148,160779,London,4912,1949,2018-12-18 00:00:00,2018-12-18 00:00:00,6000
10231,147296,London,6253,1969,2018-09-12 00:00:00,2018-09-12 00:00:00,49315
10234,143762,London,6253,1969,2018-09-13 00:00:00,2018-10-14 00:00:00,1605000
10239,160251,London,6253,1969,2018-10-15 00:00:00,2018-11-04 00:00:00,1139100
10316,139949,London,1764,1982,2018-06-08 00:00:00,2018-06-08 00:00:00,3800
10319,139950,London,1764,1982,2018-06-15 00:00:00,2018-06-15 00:00:00,3800
10397,133794,London,3809,1996,2018-05-11 00:00:00,2018-05-20 00:00:00,10010
10425,170716,Paris,6631,2001,2018-11-27 00:00:00,2018-11-29 00:00:00,135000
10447,148370,London,6264,2005,2018-08-25 00:00:00,2018-08-25 00:00:00,1500
10451,149300,London,6434,2005,2018-09-29 00:00:00,2018-09-29 00:00:00,1500
10460,150545,London,5562,2005,2018-09-14 00:00:00,2018-09-21 00:00:00,48000
10464,150273,London,5562,2005,2018-08-31 00:00:00,2018-09-07 00:00:00,48000
10475,145535,Brooklyn,6298,2008,2018-07-14 00:00:00,2018-07-15 00:00:00,25000
10479,165273,Paris,6247,2009,2019-01-25 00:00:00,2019-01-29 00:00:00,100000
10531,176972,London,6941,2017,2018-12-08 00:00:00,2018-12-23 00:00:00,0
10584,116353,London,5143,2029,2018-02-13 00:00:00,2018-02-26 00:00:00,8400
10649,155450,Paris,3250,2041,2019-01-16 00:00:00,2019-01-22 00:00:00,225000
10686,126513,London ,4920,2056,2018-04-19 00:00:00,2018-05-02 00:00:00,240000
10786,147786,London,6264,2078,2018-08-25 00:00:00,2018-08-25 00:00:00,1500
10789,165178,Manchester,6341,2079,2018-11-30 00:00:00,2018-11-30 00:00:00,3000
10792,167801,Manchester,6341,2079,2018-12-03 00:00:00,2018-12-07 00:00:00,15000
10813,143247,London,5563,2094,2018-08-01 00:00:00,2018-08-01 00:00:00,4000
10818,164213,London,5563,2094,2018-10-24 00:00:00,2018-11-21 00:00:00,116000
10820,152380,London,5563,2094,2018-09-26 00:00:00,2018-10-10 00:00:00,60000
10827,152381,London,5562,2094,2018-10-05 00:00:00,2018-10-12 00:00:00,48000
10830,161673,London,4912,2094,2018-12-19 00:00:00,2018-12-21 00:00:00,18000
10865,156623,London,6121,2098,2018-10-17 00:00:00,2019-04-15 00:00:00,1048014
11006,170895,London,1059,2121,2019-02-28 00:00:00,2019-03-06 00:00:00,119997
11224,121383,London,5573,2161,2018-07-02 00:00:00,2018-10-02 00:00:00,657200
11266,149960,Paris,6055,2172,2018-09-17 00:00:00,2018-09-17 00:00:00,360000
11316,153489,London,5803,2180,2018-11-03 00:00:00,2018-11-17 00:00:00,214000
11350,163099,New York,6630,2183,2018-11-06 00:00:00,2018-11-08 00:00:00,495000
11353,130678,London ,2383,2184,2018-05-11 00:00:00,2018-05-12 00:00:00,20000
11387,142254,Paris,5289,2186,2018-06-22 00:00:00,2018-06-25 00:00:00,175200
11444,176961,London,6909,2198,2018-12-08 00:00:00,2018-12-23 00:00:00,125024
11541,152579,London,6268,2214,2018-09-14 00:00:00,2018-09-16 00:00:00,150000
11598,119257,London,735,2234,2018-07-11 00:00:00,2018-07-12 00:00:00,200000
11626,149289,London,6434,2245,2018-09-29 00:00:00,2018-09-29 00:00:00,1500
11637,140772,New York,6175,2250,2018-06-20 00:00:00,2018-07-01 00:00:00,1440000
11792,182047,London,3090,2283,2019-01-20 00:00:00,2019-01-22 00:00:00,40800
11918,113328,London,2797,2310,2018-03-24 00:00:00,2018-03-25 00:00:00,25714
11948,176966,London,6940,2326,2018-12-08 00:00:00,2018-12-23 00:00:00,230000
11956,149014,London,6264,2329,2018-08-25 00:00:00,2018-08-25 00:00:00,1500
11963,168858,London,6713,2329,2018-11-11 00:00:00,2018-12-23 00:00:00,193500
12013,117961,London,3275,2337,2018-03-15 00:00:00,2018-03-21 00:00:00,60000
12016,126091,London,3275,2337,2018-03-22 00:00:00,2018-03-25 00:00:00,34284
12099,112599,London,5059,2353,2018-02-01 00:00:00,2018-04-01 00:00:00,36400
12344,126572,London,2575,2393,2018-05-23 00:00:00,2018-06-14 00:00:00,449085
12401,143617,London,3091,2393,2018-09-23 00:00:00,2018-10-08 00:00:00,916000
12439,122622,New York,4981,2402,2018-06-22 00:00:00,2018-06-28 00:00:00,250000
12507,123157,London,369,2418,2018-07-09 00:00:00,2018-07-15 00:00:00,105000
12510,141108,London,369,2418,2018-09-10 00:00:00,2018-09-23 00:00:00,210000
12542,148714,Paris,5393,2426,2018-09-25 00:00:00,2018-10-03 00:00:00,1032000
12545,155054,Paris,5393,2426,2019-01-20 00:00:00,2019-01-25 00:00:00,900000
12709,135441,New York,4688,2464,2018-07-08 00:00:00,2018-07-26 00:00:00,1084000
12721,140768,New York,6175,2465,2018-06-20 00:00:00,2018-07-01 00:00:00,1440000
12726,149676,Paris,3641,2467,2018-09-07 00:00:00,2018-09-10 00:00:00,180000
12745,118338,London,67,2471,2018-02-28 00:00:00,2018-02-28 00:00:00,690000
12790,131911,Leeds,4301,2476,2018-08-10 00:00:00,2018-08-12 00:00:00,39999
12819,182073,Marseille,5666,2480,2019-01-25 00:00:00,2019-01-27 00:00:00,150000
12825,172535,Paris,5728,2480,2018-12-07 00:00:00,2018-12-09 00:00:00,375000
12968,120124,London,4336,2504,2018-03-08 00:00:00,2018-03-08 00:00:00,18500
12977,175078,London,6815,2506,2018-11-30 00:00:00,2018-11-30 00:00:00,1500
12980,175077,London,6816,2506,2018-12-01 00:00:00,2018-12-01 00:00:00,1500
13000,134977,London,3330,2507,2018-07-02 00:00:00,2018-10-10 00:00:00,2548000
13044,125008,London,715,2507,2018-04-26 00:00:00,2018-04-29 00:00:00,400000
13126,156418,Brooklyn,6298,2516,2018-09-15 00:00:00,2018-09-16 00:00:00,25000
13164,148062,Manchester,6341,2528,2018-08-13 00:00:00,2018-08-26 00:00:00,42000
13189,124516,London,5565,2536,2018-04-15 00:00:00,2018-04-15 00:00:00,15000
13200,151396,Paris,4402,2538,2018-09-27 00:00:00,2018-10-03 00:00:00,165000
13230,121375,London,61,2543,2018-08-13 00:00:00,2018-08-19 00:00:00,100000
13301,165990,London,4912,2559,2018-12-17 00:00:00,2018-12-18 00:00:00,12000
13400,122023,London,327,2577,2018-03-26 00:00:00,2018-04-08 00:00:00,140000
13403,126438,London,327,2577,2018-04-09 00:00:00,2018-04-22 00:00:00,140000
13447,131776,New York,5536,2579,2018-09-01 00:00:00,2018-09-02 00:00:00,700000
13506,134060,New York,5142,2602,2018-05-21 00:00:00,2018-05-21 00:00:00,400000
13509,122593,New York,5142,2602,2018-05-06 00:00:00,2018-05-07 00:00:00,800000
13556,160810,Paris,6246,2610,2018-11-19 00:00:00,2018-11-20 00:00:00,118000
13569,156040,Paris,6524,2611,2018-09-22 00:00:00,2018-09-23 00:00:00,35000
13665,173146,Paris,4421,2626,2018-12-15 00:00:00,2018-12-16 00:00:00,40000
13701,134252,New York,4277,2635,2018-06-25 00:00:00,2018-07-01 00:00:00,437500
13848,158029,London,5563,2658,2018-11-21 00:00:00,2018-11-21 00:00:00,4000
13853,157026,London,5562,2658,2018-10-26 00:00:00,2018-11-30 00:00:00,6000
13894,166343,London,3043,2660,2018-11-12 00:00:00,2019-04-30 00:00:00,510000
13930,134050,London,5565,2673,2018-05-25 00:00:00,2018-05-25 00:00:00,15000
13935,170375,London,6815,2679,2018-11-30 00:00:00,2018-11-30 00:00:00,1500
14078,176964,London,6941,2719,2018-12-08 00:00:00,2018-12-23 00:00:00,0
14149,145428,Paris,6054,2728,2018-09-28 00:00:00,2018-10-02 00:00:00,355000
14229,117506,Paris,5488,2743,2018-03-31 00:00:00,2018-03-31 00:00:00,29000
14493,165623,London,5563,2789,2018-12-05 00:00:00,2018-12-05 00:00:00,4000
14494,173141,London,5563,2789,2019-01-16 00:00:00,2019-01-30 00:00:00,8000
14495,165629,London,5562,2789,2018-12-07 00:00:00,2018-12-14 00:00:00,12000
14496,173142,London,5562,2789,2019-01-11 00:00:00,2019-01-25 00:00:00,18000
14497,179988,London,5562,2789,2019-02-01 00:00:00,2019-02-22 00:00:00,24000
14685,178407,Paris,4986,2829,2019-01-13 00:00:00,2019-01-17 00:00:00,225000
14739,115581,London,1312,2840,2018-02-10 00:00:00,2018-02-13 00:00:00,196000
14780,151876,London,2053,2846,2018-08-17 00:00:00,2018-08-24 00:00:00,262314
14820,127727,London,2901,2859,2018-04-06 00:00:00,2018-05-06 00:00:00,430112
14830,177101,Paris,5947,2861,2019-01-26 00:00:00,2019-01-27 00:00:00,68770
14853,158191,Paris,6524,2870,2018-09-22 00:00:00,2018-09-23 00:00:00,35000
15026,151139,London,61,2907,2018-10-15 00:00:00,2018-10-21 00:00:00,100000
15079,164553,London,327,2915,2018-11-12 00:00:00,2018-11-25 00:00:00,140000
15099,112225,Paris,5268,2921,2018-01-19 00:00:00,2018-01-20 00:00:00,50000
15178,137886,New york,6023,2930,2018-07-10 00:00:00,2018-08-10 00:00:00,1605000
15203,130584,London,5858,2934,2018-09-20 00:00:00,2018-10-17 00:00:00,336000
15216,149214,Paris,5160,2940,2018-12-07 00:00:00,2018-12-24 00:00:00,224875
15383,120538,London,4982,2985,2018-03-29 00:00:00,2018-04-23 00:00:00,25970
15494,133894,London,5946,2993,2018-06-18 00:00:00,2018-12-16 00:00:00,2242200
15497,170772,London,5946,2993,2018-12-17 00:00:00,2019-01-13 00:00:00,420000
15564,131971,London,3090,3006,2018-05-04 00:00:00,2018-05-04 00:00:00,12500
15591,175578,Paris,3290,3012,2019-03-04 00:00:00,2020-03-03 00:00:00,5959715
15645,171068,London,200,3019,2018-12-14 00:00:00,2018-12-14 00:00:00,200000
15647,173466,London,200,3019,2018-12-07 00:00:00,2018-12-07 00:00:00,200000
15651,146118,Brooklyn,6298,3020,2018-07-15 00:00:00,2018-07-15 00:00:00,12500
15718,134084,London,2575,3034,2018-10-16 00:00:00,2018-10-19 00:00:00,78000
15932,128695,London,3090,3067,2018-05-28 00:00:00,2018-06-01 00:00:00,62500
15995,114129, Glasgow ,4690,3079,2018-04-07 00:00:00,2018-04-08 00:00:00,20000
16044,182284,London,5858,3093,2019-01-17 00:00:00,2019-01-22 00:00:00,72000
16126,142811,New York,6175,3110,2018-06-20 00:00:00,2018-07-01 00:00:00,1440000
16156,150877,Manchester,6341,3124,2018-09-01 00:00:00,2018-09-01 00:00:00,3000
16159,155039,Manchester,6341,3124,2018-09-15 00:00:00,2018-10-26 00:00:00,126000
16171,131255,London,1626,3132,2018-05-02 00:00:00,2018-05-09 00:00:00,22800
16266,158401,London ,6575,3160,2018-10-15 00:00:00,2018-10-21 00:00:00,180000
16322,172677,Manchester ,1141,3166,2018-11-20 00:00:00,2018-12-31 00:00:00,56994
16373,115485,Paris,4402,3172,2018-04-05 00:00:00,2018-04-14 00:00:00,235950
16404,120526,New York,4190,3176,2018-03-19 00:00:00,2018-03-19 00:00:00,160000
16434,139757,Liverpool,470,3178,2018-06-01 00:00:00,2018-06-01 00:00:00,50000
16471,120432,Paris,2526,3183,2018-04-06 00:00:00,2018-04-08 00:00:00,540000
16662,126005,London ,3372,3219,2018-05-04 00:00:00,2018-05-10 00:00:00,17500
16700,115259,Paris,5032,3228,2018-03-02 00:00:00,2018-03-03 00:00:00,30000
16773,180687,London,61,3246,2019-04-22 00:00:00,2019-04-28 00:00:00,99995
17047,168051,Paris,1374,3289,2018-11-28 00:00:00,2018-11-28 00:00:00,150000
17099,133608,London,5562,3300,2018-06-01 00:00:00,2018-06-01 00:00:00,6000
17121,177321,London,6941,3309,2018-12-08 00:00:00,2018-12-23 00:00:00,0
17233,139146,London,759,3329,2018-08-09 00:00:00,2018-08-23 00:00:00,81320
17244,153792,Brighton ,2103,3329,2018-11-23 00:00:00,2018-11-25 00:00:00,70500
17450,168435,London,4912,3368,2018-12-17 00:00:00,2018-12-21 00:00:00,30000
17644,127040,New York,5620,3418,2018-04-13 00:00:00,2018-04-15 00:00:00,420000
17866,144171,London,6086,3483,2018-07-28 00:00:00,2018-07-28 00:00:00,10000
17965,144015,London,238,3489,2018-08-02 00:00:00,2018-08-02 00:00:00,200000
17969,149085,London,238,3489,2018-08-04 00:00:00,2018-08-06 00:00:00,600000
18002,143635,New York,5585,3493,2018-09-23 00:00:00,2018-09-30 00:00:00,1710000
18009,152911,Paris,5977,3496,2018-11-09 00:00:00,2018-11-25 00:00:00,437400
18038,155705,Liverpool,470,3501,2018-09-23 00:00:00,2018-11-17 00:00:00,374000
18057,170385,London,6050,3510,2018-12-05 00:00:00,2018-12-09 00:00:00,250000
18106,151607,London,367,3510,2018-09-10 00:00:00,2018-09-16 00:00:00,154000
18206,172761,Paris,6600,3534,2018-12-21 00:00:00,2018-12-23 00:00:00,75000
18222,121770,Paris,4866,3534,2018-06-15 00:00:00,2018-06-16 00:00:00,62500
18369,158222,Paris,6247,3551,2018-11-29 00:00:00,2018-12-16 00:00:00,243000
18470,141282,London,5695,3565,2018-06-30 00:00:00,2018-06-30 00:00:00,11500
18576,119681,Marseille,4548,3592,2018-12-01 00:00:00,2018-12-26 00:00:00,255990
18611,142582,London,6239,3599,2018-06-23 00:00:00,2018-06-23 00:00:00,1500
18612,147470,London,6264,3599,2018-08-25 00:00:00,2018-08-25 00:00:00,1500
18616,145609,London,6038,3599,2018-07-14 00:00:00,2018-07-14 00:00:00,1500
18619,147471,London,5563,3599,2018-08-01 00:00:00,2018-08-01 00:00:00,4000
18623,149890,London,5563,3599,2018-08-15 00:00:00,2018-08-15 00:00:00,4000
18760,148684,London,6434,3622,2018-09-29 00:00:00,2018-09-29 00:00:00,1500
18799,152259,Paris,5672,3630,2018-11-03 00:00:00,2018-11-03 00:00:00,180000
18911,116849,London,5562,3646,2018-04-20 00:00:00,2018-04-20 00:00:00,6000
19056,159516,London,6551,3650,2018-12-03 00:00:00,2018-12-17 00:00:00,460000
19066,121420,London,5237,3650,2018-05-10 00:00:00,2018-05-24 00:00:00,267500
19183,140977,London,5929,3650,2018-07-03 00:00:00,2018-07-24 00:00:00,1287400
19194,151146,London,6490,3650,2018-09-10 00:00:00,2018-09-23 00:00:00,800000
19201,181681,London,6490,3650,2019-02-13 00:00:00,2019-02-26 00:00:00,802904
19266,167632,London,6780,3650,2018-11-12 00:00:00,2018-11-25 00:00:00,1400000
19326,137407,London,3612,3655,2018-06-07 00:00:00,2018-09-14 00:00:00,1962090
19328,154731,London,3612,3655,2018-09-15 00:00:00,2018-10-19 00:00:00,689383
19330,169296,London,3612,3655,2018-11-01 00:00:00,2018-11-06 00:00:00,85710
19333,165986,London,3612,3655,2018-10-20 00:00:00,2018-10-31 00:00:00,171420
19359,176098,London ,6798,3655,2018-12-31 00:00:00,2019-01-31 00:00:00,470403
19371,168460, London ,6770,3655,2018-11-07 00:00:00,2018-12-31 00:00:00,2200000
19433,169617,London,1312,3661,2019-05-01 00:00:00,2019-05-06 00:00:00,294000
19638,118777,Paris,4421,3700,2018-03-31 00:00:00,2018-04-01 00:00:00,40000
19660,120836,Brooklyn ,5286,3702,2018-04-02 00:00:00,2018-04-08 00:00:00,250000
19763,158724,London,383,3739,2018-11-19 00:00:00,2018-11-25 00:00:00,87500
19822,119606,London,5562,3756,2018-04-13 00:00:00,2018-04-13 00:00:00,6000
19955,127579,London,1033,3779,2018-08-02 00:00:00,2018-09-03 00:00:00,283030
19996,148047,London,2780,3782,2018-11-26 00:00:00,2018-12-02 00:00:00,335000
20040,124856,London,4643,3790,2018-04-07 00:00:00,2018-04-07 00:00:00,17100
20063,153947,Paris,1771,3791,2018-12-13 00:00:00,2018-12-16 00:00:00,120000
20143,131725,Glasgow,4691,3814,2018-06-08 00:00:00,2018-06-09 00:00:00,40000
20332,130310,Paris,5363,3860,2018-05-04 00:00:00,2018-05-06 00:00:00,105000
20341,151348,Manchester,6341,3861,2018-09-06 00:00:00,2018-09-06 00:00:00,3000
20342,157816,Manchester,6341,3861,2018-09-20 00:00:00,2018-09-20 00:00:00,3000
20345,160347,Manchester,6341,3861,2018-10-04 00:00:00,2018-11-01 00:00:00,86940
20352,164781,Manchester,6341,3861,2018-10-11 00:00:00,2018-10-11 00:00:00,3000
20358,171512,Manchester,6341,3861,2018-11-15 00:00:00,2018-11-16 00:00:00,6000
20359,174616,Manchester,6341,3861,2018-11-23 00:00:00,2018-11-23 00:00:00,3000
20360,178528,Manchester,6341,3861,2018-12-13 00:00:00,2018-12-21 00:00:00,12000
20419,115104,London,4438,3872,2018-02-28 00:00:00,2018-02-28 00:00:00,6000
20536,167385,London,5563,3896,2018-11-07 00:00:00,2018-12-05 00:00:00,12000
20537,179741,London,5563,3896,2019-02-13 00:00:00,2019-02-13 00:00:00,4000
20540,167626,London,5562,3896,2018-11-02 00:00:00,2018-12-14 00:00:00,36000
20541,179737,London,5562,3896,2019-02-01 00:00:00,2019-02-22 00:00:00,24000
20545,167634,London,4912,3896,2018-12-17 00:00:00,2018-12-17 00:00:00,6000
20610,165769,Paris,6704,3909,2018-12-07 00:00:00,2018-12-15 00:00:00,192852
20688,154229,Paris,5511,3926,2018-11-21 00:00:00,2018-11-25 00:00:00,800000
20720,162584,London,6360,3927,2018-11-22 00:00:00,2018-11-29 00:00:00,105000
20787,142825,London,3876,3938,2018-07-19 00:00:00,2018-09-19 00:00:00,87150
20805,156248,London,3043,3949,2018-10-10 00:00:00,2018-11-11 00:00:00,110700
20828,145549,Brooklyn,6298,3952,2018-07-14 00:00:00,2018-07-15 00:00:00,25000
20831,154066,Brooklyn,6298,3952,2018-09-15 00:00:00,2018-09-16 00:00:00,25000
20834,158527,Brooklyn,6298,3952,2018-10-13 00:00:00,2018-10-14 00:00:00,25000
20878,113582,London,2685,3958,2018-01-28 00:00:00,2018-01-28 00:00:00,51000
20913,178009,New York,6630,3965,2019-02-02 00:00:00,2019-02-02 00:00:00,165000
20942,150655,London,5563,3971,2018-09-12 00:00:00,2018-09-12 00:00:00,4000
20946,150654,London,5562,3971,2018-10-05 00:00:00,2018-10-05 00:00:00,6000
20968,149106,London,369,3980,2018-08-06 00:00:00,2018-08-12 00:00:00,105000
21008,165132,Paris,1388,3994,2019-01-15 00:00:00,2019-01-20 00:00:00,420000
21019,117461,New York,4276,3996,2018-03-22 00:00:00,2018-03-25 00:00:00,340000
